final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,2.2876234652358107e-05,6500,8000,0.7232511414881919,0.7924760119156795,0.17027389363682516,full_steerage_v3,108
1.0,1.353729203401599e-05,7500,7500,0.7370826956656523,0.8000151875068925,0.16593041335251313,full_steerage_v3,123
1.0,0.0006914825062267482,7500,9000,0.6738786586489428,0.9971753889137184,0.10617992680656627,full_steerage_v3,92
1.0,4.693148639489664e-06,6000,7500,0.7771263191562082,0.9836318715615687,0.09577630521238789,full_steerage_v3,45
1.0,0.00032639611163176596,7500,8500,0.6848523454027386,0.9927891110332732,0.08431920587239802,full_steerage_v3,56
0.9971014261245728,0.008595773950219154,8000,8000,0.6726019864954517,0.9967011175975476,0.09264680995092231,full_steerage_v3,50
1.0,1.9817176507785916e-05,8000,8500,0.7372118781578376,0.7798832035075071,0.1696408550516162,full_steerage_v3,9
1.0,7.958290370879695e-05,7000,8000,0.7565130762682127,0.9520900556957904,0.125096251480792,full_steerage_v3,51
1.0,0.0002982502046506852,7500,8000,0.667921926348617,0.9910998857772865,0.0842099974614994,full_steerage_v3,66
1.0,1.2409160262905061e-05,7500,8000,0.7506543339762323,0.9031157112040953,0.13153716787950584,full_steerage_v3,47
0.9998067617416382,0.00044341073953546584,8000,8000,0.6945646485081981,0.9892022510768865,0.08159957268573362,full_steerage_v3,0
1.0,0.00025027451920323074,7000,8000,0.6538567534847849,0.9923169108114389,0.08435093712980202,full_steerage_v3,35
1.0,1.237478409166215e-05,7500,9500,0.7384137265554653,0.810619468964455,0.16293868463360975,full_steerage_v3,102
1.0,9.426858014194295e-05,6500,7500,0.7251579632591472,0.9879774517268255,0.1097898861905568,full_steerage_v3,37
1.0,3.4895899716502754e-06,6500,7500,0.7737645450947179,0.9984168398346557,0.09525697029954308,full_steerage_v3,103
1.0,1.5210853234748356e-05,7500,8000,0.7397967920064826,0.7551594999750504,0.17368315281773566,full_steerage_v3,5
